"","NUTS_CODE","Date","montant"
"177","IE0",2020-03-20,683
"178","CH0",2020-01-22,0
"179","CH0",2020-01-23,0
"180","CH0",2020-01-24,0
"181","CH0",2020-01-25,0
"182","CH0",2020-01-26,0
"183","CH0",2020-01-27,0
"184","CH0",2020-01-28,0
"185","CH0",2020-01-29,0
"186","CH0",2020-01-30,0
"187","CH0",2020-01-31,0
"188","CH0",2020-02-01,0
"189","CH0",2020-02-02,0
"190","CH0",2020-02-03,0
"191","CH0",2020-02-04,0
"192","CH0",2020-02-05,0
"193","CH0",2020-02-06,0
"194","CH0",2020-02-07,0
"195","CH0",2020-02-08,0
"196","CH0",2020-02-09,0
"197","CH0",2020-02-10,0
"198","CH0",2020-02-11,0
"199","CH0",2020-02-12,0
"200","CH0",2020-02-13,0
"201","CH0",2020-02-14,0
"202","CH0",2020-02-15,0
"203","CH0",2020-02-16,0
"204","CH0",2020-02-17,0
"205","CH0",2020-02-18,0
"206","CH0",2020-02-19,0
"207","CH0",2020-02-20,0
"208","CH0",2020-02-21,0
"209","CH0",2020-02-22,0
"210","CH0",2020-02-23,0
"211","CH0",2020-02-24,0
"212","CH0",2020-02-25,1
"213","CH0",2020-02-26,1
"214","CH0",2020-02-27,8
"215","CH0",2020-02-28,8
"216","CH0",2020-02-29,18
"217","CH0",2020-03-01,27
"218","CH0",2020-03-02,42
"219","CH0",2020-03-03,56
"220","CH0",2020-03-04,90
"221","CH0",2020-03-05,114
"222","CH0",2020-03-06,214
"223","CH0",2020-03-07,268
"224","CH0",2020-03-08,337
"225","CH0",2020-03-09,374
"226","CH0",2020-03-10,491
"227","CH0",2020-03-11,652
"228","CH0",2020-03-12,652
"229","CH0",2020-03-13,1139
"230","CH0",2020-03-14,1359
"231","CH0",2020-03-15,2200
"232","CH0",2020-03-16,2200
"233","CH0",2020-03-17,2700
"234","CH0",2020-03-18,3028
"235","CH0",2020-03-19,4075
"236","CH0",2020-03-20,5294
